ticker,cik,report_url
aapl,0000320193,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000106/aapl-20230930.htm
msft,0000789019,https://www.sec.gov/Archives/edgar/data/0000789019/000095017024087843/msft-20240630.htm
brk-b,0001067983,https://www.sec.gov/Archives/edgar/data/0001067983/000095017024019719/brka-20231231.htm
unh,0000731766,https://www.sec.gov/Archives/edgar/data/0000731766/000073176624000081/unh-20231231.htm
jnj,0000200406,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000013/jnj-20231231.htm
v,0001403161,https://www.sec.gov/Archives/edgar/data/0001403161/000140316123000099/v-20230930.htm
xom,0000034088,https://www.sec.gov/Archives/edgar/data/0000034088/000003408824000018/xom-20231231.htm
wmt,0000104169,https://www.sec.gov/Archives/edgar/data/0000104169/000010416924000056/wmt-20240131.htm
jpm,0000019617,https://www.sec.gov/Archives/edgar/data/0000019617/000001961724000225/jpm-20231231.htm
pg,0000080424,https://www.sec.gov/Archives/edgar/data/0000080424/000008042424000083/pg-20240630.htm
nvda,0001045810,https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000029/nvda-20240128.htm
ma,0001141391,https://www.sec.gov/Archives/edgar/data/0001141391/000114139124000022/ma-20231231.htm
cvx,0000093410,https://www.sec.gov/Archives/edgar/data/0000093410/000009341024000013/cvx-20231231.htm
tsla,0001318605,https://www.sec.gov/Archives/edgar/data/0001318605/000162828024002390/tsla-20231231.htm
lly,0000059478,https://www.sec.gov/Archives/edgar/data/0000059478/000005947824000065/lly-20231231.htm
hd,0000354950,https://www.sec.gov/Archives/edgar/data/0000354950/000035495024000062/hd-20240128.htm
bac,0000070858,https://www.sec.gov/Archives/edgar/data/0000070858/000007085824000122/bac-20231231.htm
pfe,0000078003,https://www.sec.gov/Archives/edgar/data/0000078003/000007800324000039/pfe-20231231.htm
ko,0000021344,https://www.sec.gov/Archives/edgar/data/0000021344/000002134424000009/ko-20231231.htm
abbv,0001551152,https://www.sec.gov/Archives/edgar/data/0001551152/000155115224000011/abbv-20231231.htm
pep,0000077476,https://www.sec.gov/Archives/edgar/data/0000077476/000007747624000008/pep-20231230.htm
cost,0000909832,https://www.sec.gov/Archives/edgar/data/0000909832/000090983223000042/cost-20230903.htm
mrk,0000310158,https://www.sec.gov/Archives/edgar/data/0000310158/000162828024006850/mrk-20231231.htm
tmo,0000097745,https://www.sec.gov/Archives/edgar/data/0000097745/000009774524000007/tmo-20231231.htm
avgo,0001730168,https://www.sec.gov/Archives/edgar/data/0001730168/000173016823000096/avgo-20231029.htm
dhr,0000313616,https://www.sec.gov/Archives/edgar/data/0000313616/000031361624000052/dhr-20231231.htm
dis,0001744489,https://www.sec.gov/Archives/edgar/data/0001744489/000174448923000216/dis-20230930.htm
mcd,0000063908,https://www.sec.gov/Archives/edgar/data/0000063908/000006390824000072/mcd-20231231.htm
orcl,0001341439,https://www.sec.gov/Archives/edgar/data/0001341439/000095017024075605/orcl-20240531.htm
abt,0000001800,https://www.sec.gov/Archives/edgar/data/0000001800/000162828024005348/abt-20231231.htm
csco,0000858877,https://www.sec.gov/Archives/edgar/data/0000858877/000085887723000023/csco-20230729.htm
tmus,0001283699,https://www.sec.gov/Archives/edgar/data/0001283699/000128369924000008/tmus-20231231.htm
wfc,0000072971,https://www.sec.gov/Archives/edgar/data/0000072971/000007297124000064/wfc-20231231.htm
acn,0001467373,https://www.sec.gov/Archives/edgar/data/0001467373/000146737323000324/acn-20230831.htm
vz,0000732712,https://www.sec.gov/Archives/edgar/data/0000732712/000073271224000010/vz-20231231.htm
nee,0000753308,https://www.sec.gov/Archives/edgar/data/0000753308/000075330824000008/nee-20231231.htm
nke,0000320187,https://www.sec.gov/Archives/edgar/data/0000320187/000032018724000044/nke-20240531.htm
ups,0001090727,https://www.sec.gov/Archives/edgar/data/0001090727/000109072724000008/ups-20231231.htm
bmy,0000014272,https://www.sec.gov/Archives/edgar/data/0000014272/000001427224000044/bmy-20231231.htm
ms,0000895421,https://www.sec.gov/Archives/edgar/data/0000895421/000089542124000300/ms-20231231.htm
cmcsa,0001166691,https://www.sec.gov/Archives/edgar/data/0001166691/000116669124000011/cmcsa-20231231.htm
crm,0001108524,https://www.sec.gov/Archives/edgar/data/0001108524/000110852424000005/crm-20240131.htm
cop,0001163165,https://www.sec.gov/Archives/edgar/data/0001163165/000116316524000010/cop-20231231.htm
txn,0000097476,https://www.sec.gov/Archives/edgar/data/0000097476/000009747624000007/txn-20231231.htm
adbe,0000796343,https://www.sec.gov/Archives/edgar/data/0000796343/000079634324000006/adbe-20231201.htm
pm,0001413329,https://www.sec.gov/Archives/edgar/data/0001413329/000141332924000013/pm-20231231.htm
lin,0001707925,https://www.sec.gov/Archives/edgar/data/0001707925/000162828024007424/lin-20231231.htm
unp,0000100885,https://www.sec.gov/Archives/edgar/data/0000100885/000143774924003599/unp20231231_10k.htm
qcom,0000804328,https://www.sec.gov/Archives/edgar/data/0000804328/000080432823000055/qcom-20230924.htm
schw,0000316709,https://www.sec.gov/Archives/edgar/data/0000316709/000031670924000018/schw-20231231.htm
cvs,0000064803,https://www.sec.gov/Archives/edgar/data/0000064803/000006480324000007/cvs-20231231.htm
low,0000060667,https://www.sec.gov/Archives/edgar/data/0000060667/000006066724000033/low-20240202.htm
amgn,0000318154,https://www.sec.gov/Archives/edgar/data/0000318154/000031815424000011/amgn-20231231.htm
rtx,0000101829,https://www.sec.gov/Archives/edgar/data/0000101829/000010182924000008/rtx-20231231.htm
asti,0001350102,https://www.sec.gov/Archives/edgar/data/0001350102/000095017024017977/asti-20231231.htm
mdt,0001613103,https://www.sec.gov/Archives/edgar/data/0001613103/000161310324000072/mdt-20240426.htm
hon,0000773840,https://www.sec.gov/Archives/edgar/data/0000773840/000077384024000014/hon-20231231.htm
axp,0000004962,https://www.sec.gov/Archives/edgar/data/0000004962/000000496224000013/axp-20231231.htm
t,0000732717,https://www.sec.gov/Archives/edgar/data/0000732717/000073271724000009/t-20231231.htm
intu,0000896878,https://www.sec.gov/Archives/edgar/data/0000896878/000089687823000034/intu-20230731.htm
intc,0000050863,https://www.sec.gov/Archives/edgar/data/0000050863/000005086324000010/intc-20231230.htm
lmt,0000936468,https://www.sec.gov/Archives/edgar/data/0000936468/000093646824000010/lmt-20231231.htm
pypl,0001633917,https://www.sec.gov/Archives/edgar/data/0001633917/000163391724000024/pypl-20231231.htm
ibm,0000051143,https://www.sec.gov/Archives/edgar/data/0000051143/000005114324000012/ibm-20231231.htm
amt,0001053507,https://www.sec.gov/Archives/edgar/data/0001053507/000105350724000011/amt-20231231.htm
gs,0000886982,https://www.sec.gov/Archives/edgar/data/0000886982/000088698224000006/gs-20231231.htm
de,0000315189,https://www.sec.gov/Archives/edgar/data/0000315189/000155837023019812/de-20231029x10k.htm
sbux,0000829224,https://www.sec.gov/Archives/edgar/data/0000829224/000082922423000058/sbux-20231001.htm
nflx,0001065280,https://www.sec.gov/Archives/edgar/data/0001065280/000106528024000030/nflx-20231231.htm
cat,0000018230,https://www.sec.gov/Archives/edgar/data/0000018230/000001823024000009/cat-20231231.htm
adp,0000008670,https://www.sec.gov/Archives/edgar/data/0000008670/000000867024000024/adp-20240630.htm
c,0000831001,https://www.sec.gov/Archives/edgar/data/0000831001/000083100124000033/c-20231231.htm
